	ALL	1orMORE	CERO	NaN	ALL_TruePositive_query_count	1orMORE_TruePositive_query_count	CERO_FalsePositive_query_count	NaN_query_count	TruePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
InterPro_count_0.2_1e-10	34517	30984	76	102485	1952	2014	13	10295	65501	65577	0.9988410570779389	65425.08807966208
InterPro_count_0.2_1e-05	38354	34162	94	95452	2236	2287	21	10243	72516	72610	0.9987054124776201	72422.1216912271
InterPro_count_0.2_0.01	39577	34967	135	93383	2332	2391	38	10231	74544	74679	0.9981922628851484	74409.2440445105
InterPro_count_0.2_1	39880	35179	238	92765	2363	2432	99	10212	75059	75297	0.9968391835000067	74821.752274327
Pfam_count_0.2_1e-30	22632	7012	205	138213	981	506	23	10447	29644	29849	0.9931320982277463	29440.40791986331
Pfam_count_0.2_1e-20	35344	9345	561	122812	1570	769	63	10389	44689	45250	0.9876022099447513	44134.95516022099
Pfam_count_0.2_1e-15	42555	10779	845	113883	1895	911	95	10355	53334	54179	0.984403551191421	52502.178999243246
Pfam_count_0.2_1e-10	50357	12118	977	104610	2292	1050	122	10311	62475	63452	0.9846025341990796	61513.0433240875
Pfam_count_0.2_1e-05	55871	12808	1167	98216	2611	1140	166	10266	68679	69846	0.9832918134180912	67531.4984537411
Pfam_count_0.2_0.01	57411	12939	1285	96427	2706	1163	207	10258	70350	71635	0.9820618412787046	69088.05053395686
Pfam_count_0.2_1	57747	12945	1373	95997	2737	1166	263	10242	70692	72065	0.9809477554985083	69345.15873170055
eggNOG_count_0.2_1e-30	9376	146	1398	157142	577	30	199	10498	9522	10920	0.871978021978022	8302.974725274726
eggNOG_count_0.2_1e-20	14139	187	2233	151503	903	49	340	10482	14326	16559	0.8651488616462347	12394.122591943958
eggNOG_count_0.2_1e-15	17077	241	2778	147966	1099	57	450	10475	17318	20096	0.8617635350318471	14924.020899681529
eggNOG_count_0.2_1e-10	19912	265	3417	144468	1278	65	568	10461	20177	23594	0.8551750445028397	17254.866872933795
eggNOG_count_0.2_1e-05	21508	285	4636	141633	1369	72	758	10458	21793	26429	0.8245866283249461	17970.216391085552
eggNOG_count_0.2_0.01	21670	285	5250	140857	1376	72	853	10456	21955	27205	0.8070207682411321	17718.140966734056
eggNOG_count_0.2_1	21673	285	5484	140620	1378	72	911	10450	21958	27442	0.800160338167772	17569.920705487937
EC number_count_0.25_1e-30	9583	190	1246	157043	333	30	111	10496	9773	11019	0.8869225882566476	8667.894455032218
EC number_count_0.25_1e-20	11795	238	1849	154180	427	35	162	10491	12033	13882	0.8668059357441291	10430.275824809105
EC number_count_0.25_1e-15	12693	258	2026	153085	456	37	177	10490	12951	14977	0.8647259130667023	11199.065300126862
EC number_count_0.25_1e-10	13344	266	2089	152363	483	38	181	10489	13610	15699	0.8669341996305497	11798.974456971782
EC number_count_0.25_1e-05	13556	290	2112	152104	494	39	184	10488	13846	15958	0.8676525880436144	12013.517734051886
EC number_count_0.25_0.01	13576	290	2117	152079	494	39	184	10488	13866	15983	0.867546768441469	12029.40349120941
EC number_count_0.25_1	13592	290	2117	152063	494	39	184	10488	13882	15999	0.867679229951872	12045.123070191887
Protein families_count_0.25_1e-30	16628	248	1376	149810	580	31	126	10488	16876	18252	0.9246110015340785	15603.73526188911
Protein families_count_0.25_1e-20	23505	296	1778	142483	801	43	176	10481	23801	25579	0.9304898549591462	22146.589037882637
Protein families_count_0.25_1e-15	27125	310	1968	138659	928	48	191	10475	27435	29403	0.9330680542801755	25598.722069176612
Protein families_count_0.25_1e-10	30803	342	2080	134837	1064	51	214	10467	31145	33225	0.9373965387509405	29195.215199398044
Protein families_count_0.25_1e-05	33279	344	2114	132325	1161	52	222	10461	33623	35737	0.9408456221842908	31634.05235470241
Protein families_count_0.25_0.01	33932	348	2152	131630	1189	53	232	10459	34280	36432	0.9409310496267018	32255.116381203337
Protein families_count_0.25_1	34040	348	2155	131519	1198	53	233	10457	34388	36543	0.941028377527844	32360.083846427497
OrthoDB_count_0.25_1e-30	10637	0	2770	154655	588	0	317	10497	10637	13407	0.7933915118967704	8439.305512045947
OrthoDB_count_0.25_1e-20	15623	0	3813	148626	873	0	476	10489	15623	19436	0.8038176579543116	12558.04327022021
OrthoDB_count_0.25_1e-15	18370	0	4534	145158	1022	0	585	10484	18370	22904	0.8020433112120153	14733.535626964722
OrthoDB_count_0.25_1e-10	21070	0	5601	141391	1171	0	740	10477	21070	26671	0.7899966255483484	16645.2289003037
OrthoDB_count_0.25_1e-05	22383	0	6648	139031	1245	0	890	10472	22383	29031	0.7710034101477731	17257.369329337605
OrthoDB_count_0.25_0.01	22648	0	7011	138403	1263	0	947	10470	22648	29659	0.763613068545804	17294.30877642537
OrthoDB_count_0.25_1	22671	0	7110	138281	1267	0	977	10468	22671	29781	0.7612571773949833	17258.461468721667
PANTHER_count_0.25_1e-30	19127	5825	934	142176	820	536	111	10467	24952	25886	0.9639187205439234	24051.699915011977
PANTHER_count_0.25_1e-20	27016	8161	1636	131249	1181	788	212	10442	35177	36813	0.9555591774644826	33613.70518566811
PANTHER_count_0.25_1e-15	31120	9495	2103	125344	1374	945	264	10425	40615	42718	0.9507701671426565	38615.530338499
PANTHER_count_0.25_1e-10	35221	11057	2570	119214	1578	1116	334	10401	46278	48848	0.9473878152636751	43843.21331477236
PANTHER_count_0.25_1e-05	37915	11887	3025	115235	1722	1223	408	10379	49802	52827	0.9427376152346338	46950.21871391524
PANTHER_count_0.25_0.01	38517	12008	3137	114400	1766	1247	436	10375	50525	53662	0.9415415005031493	47571.38431292162
PANTHER_count_0.25_1	38616	12029	3163	114254	1775	1251	446	10372	50645	53808	0.941216919417187	47667.93088388343
InterPro_count_0.25_1e-30	13861	12056	0	142145	696	726	0	10467	25917	25917	1.0	25917.0
InterPro_count_0.25_1e-20	20693	16154	16	131199	1044	1035	2	10443	36847	36863	0.9995659604481458	36831.00694463283
InterPro_count_0.25_1e-15	24204	18545	36	125277	1221	1202	4	10426	42749	42785	0.9991585836157532	42713.03029098983
InterPro_count_0.25_1e-10	27951	20982	38	119091	1435	1406	5	10402	48933	48971	0.9992240305486921	48895.02948683915
InterPro_count_0.25_1e-05	30323	22653	40	115046	1620	1546	6	10380	52976	53016	0.9992455107891958	52936.030179568435
InterPro_count_0.25_0.01	30998	23034	42	113988	1682	1596	7	10376	54032	54074	0.9992232866072419	53990.0326219625
InterPro_count_0.25_1	31141	23130	56	113735	1709	1611	17	10370	54271	54327	0.9989692049993557	54215.05772452003
Pfam_count_0.25_1e-30	20027	5483	191	142361	845	383	18	10468	25510	25701	0.992568382553208	25320.419438932335
Pfam_count_0.25_1e-20	29332	6717	407	131606	1244	543	40	10445	36049	36456	0.9888358569234146	35646.54380623217
Pfam_count_0.25_1e-15	34182	7459	527	125894	1451	623	50	10431	41641	42168	0.9875023714665149	41120.586250237146
Pfam_count_0.25_1e-10	39367	8156	588	119951	1698	706	65	10409	47523	48111	0.9877782627673505	46942.1863814928
Pfam_count_0.25_1e-05	42810	8479	651	116122	1900	757	79	10388	51289	51940	0.9874663072776281	50646.15943396227
Pfam_count_0.25_0.01	43653	8556	671	115182	1961	770	89	10385	52209	52880	0.9873108925869895	51546.51439107413
Pfam_count_0.25_1	43820	8557	682	115003	1985	771	98	10381	52377	53059	0.9871463842137997	51703.76616596619
eggNOG_count_0.25_1e-30	7791	103	1103	159065	453	20	161	10505	7894	8997	0.877403578970768	6926.223852395243
eggNOG_count_0.25_1e-20	11122	123	1548	155269	672	30	242	10499	11245	12793	0.8789963261158446	9884.313687172673
eggNOG_count_0.25_1e-15	13156	145	1803	152958	798	34	292	10495	13301	15104	0.8806276483050848	11713.228350105932
eggNOG_count_0.25_1e-10	15206	163	2060	150633	930	42	351	10486	15369	17429	0.8818061850938091	13552.479258706753
eggNOG_count_0.25_1e-05	16397	179	2527	148959	1001	47	440	10485	16576	19103	0.8677171124954196	14383.278856724075
eggNOG_count_0.25_0.01	16524	179	2811	148548	1010	47	474	10484	16703	19514	0.8559495746643435	14296.92574561853
eggNOG_count_0.25_1	16527	179	2874	148482	1012	47	488	10483	16706	19580	0.853217568947906	14253.852706843718
EC number_count_0.3_1e-30	8212	160	1034	158656	285	27	88	10499	8372	9406	0.8900701679778864	7451.667446310865
EC number_count_0.3_1e-20	9702	186	1401	156773	348	31	121	10497	9888	11289	0.8758968907786341	8660.868456019134
EC number_count_0.3_1e-15	10293	192	1511	156066	368	32	128	10496	10485	11996	0.8740413471157052	9164.323524508169
EC number_count_0.3_1e-10	10713	192	1528	155629	383	32	130	10496	10905	12433	0.8771012627684388	9564.789270489826
EC number_count_0.3_1e-05	10837	202	1544	155479	390	33	131	10496	11039	12583	0.8772947627751728	9684.456886275133
EC number_count_0.3_0.01	10848	202	1544	155468	390	33	131	10496	11050	12594	0.8774019374305224	9695.291408607272
EC number_count_0.3_1	10848	202	1544	155468	390	33	131	10496	11050	12594	0.8774019374305224	9695.291408607272
Protein families_count_0.3_1e-30	14184	216	1061	152601	489	26	94	10494	14400	15461	0.9313757195524223	13411.81036155488
Protein families_count_0.3_1e-20	19262	242	1306	147252	657	32	119	10489	19504	20810	0.9372417107160019	18279.962325804903
Protein families_count_0.3_1e-15	21886	254	1443	144479	749	37	127	10484	22140	23583	0.9388118559979647	20785.29449179494
Protein families_count_0.3_1e-10	24444	270	1490	141858	847	39	140	10479	24714	26204	0.9431384521447107	23308.72370630438
Protein families_count_0.3_1e-05	26136	272	1508	140146	904	40	145	10476	26408	27916	0.9459807995414816	24981.460954291448
Protein families_count_0.3_0.01	26499	274	1514	139775	922	41	147	10475	26773	28287	0.946477180330187	25340.033548980096
Protein families_count_0.3_1	26552	274	1514	139722	926	41	147	10473	26826	28340	0.9465772759350741	25392.8820042343
OrthoDB_count_0.3_1e-30	8517	0	2123	157422	467	0	247	10502	8517	10640	0.80046992481203	6817.60234962406
OrthoDB_count_0.3_1e-20	12074	0	2615	153373	661	0	330	10498	12074	14689	0.821975628020968	9924.533732725167
OrthoDB_count_0.3_1e-15	14016	0	2963	151083	768	0	383	10497	14016	16979	0.8254903115613405	11570.072206843748
OrthoDB_count_0.3_1e-10	15880	0	3514	148668	875	0	458	10493	15880	19394	0.8188099412189337	13002.701866556667
OrthoDB_count_0.3_1e-05	16796	0	3978	147288	931	0	518	10491	16796	20774	0.8085106382978723	13579.744680851063
OrthoDB_count_0.3_0.01	16994	0	4086	146982	944	0	540	10490	16994	21080	0.8061669829222011	13700.001707779886
OrthoDB_count_0.3_1	17009	0	4105	146948	946	0	544	10489	17009	21114	0.8055792365255281	13702.097234062707
PANTHER_count_0.3_1e-30	15556	4671	548	147287	677	430	61	10482	20227	20775	0.9736221419975932	19693.455066185317
PANTHER_count_0.3_1e-20	21104	6077	906	139975	923	590	107	10468	27181	28087	0.9677430839890341	26304.224765905936
PANTHER_count_0.3_1e-15	23941	6856	1157	136108	1055	687	128	10458	30797	31954	0.9637917005695688	29681.893002441007
PANTHER_count_0.3_1e-10	26579	7864	1437	132182	1194	792	163	10448	34443	35880	0.9599498327759197	33063.552090301004
PANTHER_count_0.3_1e-05	28233	8352	1665	129812	1273	854	196	10438	36585	38250	0.9564705882352941	34992.47647058823
PANTHER_count_0.3_0.01	28576	8413	1710	129363	1302	865	205	10437	36989	38699	0.9558128117005608	35354.56009199204
PANTHER_count_0.3_1	28618	8424	1714	129306	1305	867	205	10435	37042	38756	0.9557745897409433	35403.80235318402
InterPro_count_0.3_1e-30	11793	9044	0	147225	581	566	0	10482	20837	20837	1.0	20837.0
InterPro_count_0.3_1e-20	16837	11331	12	139882	821	748	1	10468	28168	28180	0.9995741660752306	28156.005110007096
InterPro_count_0.3_1e-15	19312	12746	16	135988	926	850	2	10458	32058	32074	0.9995011535823408	32042.007981542683
InterPro_count_0.3_1e-10	21794	14208	18	132042	1070	952	3	10448	36002	36020	0.9995002776235424	35984.008995002776
InterPro_count_0.3_1e-05	23308	15098	18	129638	1163	1039	3	10438	38406	38424	0.999531542785759	38388.00843222986
InterPro_count_0.3_0.01	23696	15235	18	129113	1199	1060	3	10437	38931	38949	0.9995378571978741	38913.008318570435
InterPro_count_0.3_1	23755	15269	20	129018	1208	1065	5	10433	39024	39044	0.9994877574019055	39004.01024485196
Pfam_count_0.3_1e-30	16480	4110	152	147320	683	290	15	10483	20590	20742	0.992671873493395	20439.113875229003
Pfam_count_0.3_1e-20	23000	4727	283	140052	957	376	29	10470	27727	28010	0.9898964655480186	27446.85930024991
Pfam_count_0.3_1e-15	26272	5179	360	136251	1086	422	35	10462	31451	31811	0.9886831599132375	31095.074062431235
Pfam_count_0.3_1e-10	29739	5520	390	132413	1245	460	41	10453	35259	35649	0.9890600016830766	34873.266599343595
Pfam_count_0.3_1e-05	31932	5663	410	130057	1352	492	48	10444	37595	38005	0.9892119457966058	37189.423102223394
Pfam_count_0.3_0.01	32401	5686	411	129564	1387	499	49	10443	38087	38498	0.9893241207335446	37680.38778637851
Pfam_count_0.3_1	32481	5686	412	129483	1394	499	50	10440	38167	38579	0.9893206148422717	37759.39990668499
eggNOG_count_0.3_1e-30	5961	86	768	161247	344	14	116	10508	6047	6815	0.8873074101247249	5365.547909024212
eggNOG_count_0.3_1e-20	8231	101	962	158768	483	21	159	10506	8332	9294	0.8964923606627933	7469.574349042394
eggNOG_count_0.3_1e-15	9728	111	1113	157110	565	22	185	10505	9839	10952	0.8983747260774287	8839.108929875822
eggNOG_count_0.3_1e-10	11105	117	1237	155603	650	26	211	10500	11222	12459	0.9007143430451883	10107.816357653102
eggNOG_count_0.3_1e-05	11939	128	1428	154567	698	30	258	10500	12067	13495	0.8941830307521305	10790.106632085959
eggNOG_count_0.3_0.01	12039	128	1555	154340	705	30	277	10499	12167	13722	0.8866783267745226	10788.215201865616
eggNOG_count_0.3_1	12041	128	1567	154326	706	30	280	10498	12169	13736	0.8859202096680256	10780.763031450204
EC number_count_0.35_1e-30	6740	108	671	160543	240	18	61	10501	6848	7519	0.9107594094959436	6236.880436228222
EC number_count_0.35_1e-20	7614	122	918	159408	280	21	84	10500	7736	8654	0.8939218858331407	6915.379708805176
EC number_count_0.35_1e-15	7933	122	999	159008	293	21	89	10500	8055	9054	0.889662027833002	7166.227634194831
EC number_count_0.35_1e-10	8158	122	1013	158769	303	21	90	10500	8280	9293	0.8909932207037555	7377.4238674270955
EC number_count_0.35_1e-05	8184	122	1015	158741	305	21	90	10500	8306	9321	0.8911061044952259	7401.527303937346
EC number_count_0.35_0.01	8188	122	1015	158737	306	21	90	10500	8310	9325	0.8911528150134048	7405.479892761394
EC number_count_0.35_1	8188	122	1015	158737	306	21	90	10500	8310	9325	0.8911528150134048	7405.479892761394
Protein families_count_0.35_1e-30	11202	131	841	155888	407	19	74	10499	11333	12174	0.9309183505832102	10550.09766715952
Protein families_count_0.35_1e-20	14748	147	1004	152163	532	23	87	10496	14895	15899	0.9368513743002704	13954.401220202528
Protein families_count_0.35_1e-15	16723	153	1075	150111	592	26	92	10494	16876	17951	0.9401147568380591	15865.376636399085
Protein families_count_0.35_1e-10	18373	155	1090	148444	658	27	97	10492	18528	19618	0.9444387807115914	17498.561729024364
Protein families_count_0.35_1e-05	19443	155	1094	147370	698	27	99	10491	19598	20692	0.9471293253431278	18561.84051807462
Protein families_count_0.35_0.01	19685	157	1100	147120	711	28	101	10491	19842	20942	0.947473975742527	18799.778626683223
Protein families_count_0.35_1	19708	157	1100	147097	712	28	101	10490	19865	20965	0.9475316002861913	18822.71523968519
OrthoDB_count_0.35_1e-30	6454	0	1476	160132	350	0	182	10503	6454	7930	0.8138713745271122	5252.725851197983
OrthoDB_count_0.35_1e-20	8868	0	1701	157493	481	0	220	10501	8868	10569	0.8390576213454443	7440.762986091399
OrthoDB_count_0.35_1e-15	10261	0	1903	155898	554	0	253	10500	10261	12164	0.8435547517264058	8655.71530746465
OrthoDB_count_0.35_1e-10	11384	0	2208	154470	620	0	290	10500	11384	13592	0.8375515008828722	9534.686286050617
OrthoDB_count_0.35_1e-05	11932	0	2432	153698	654	0	324	10499	11932	14364	0.8306878306878307	9911.767195767196
OrthoDB_count_0.35_0.01	12067	0	2474	153521	666	0	331	10499	12067	14541	0.8298603947458909	10013.925383398666
OrthoDB_count_0.35_1	12074	0	2479	153509	668	0	332	10498	12074	14553	0.8296571153714011	10017.280010994296
PANTHER_count_0.35_1e-30	11997	3321	295	152449	531	317	35	10492	15318	15613	0.9811054890155639	15028.573880740409
PANTHER_count_0.35_1e-20	15745	4168	474	147675	703	416	58	10484	19913	20387	0.9767498896355521	19450.020552312748
PANTHER_count_0.35_1e-15	17766	4626	635	145035	792	473	70	10480	22392	23027	0.972423676553611	21774.510965388457
PANTHER_count_0.35_1e-10	19435	5169	787	142671	878	543	85	10477	24604	25391	0.9690047654680792	23841.39324957662
PANTHER_count_0.35_1e-05	20406	5488	857	141311	926	581	99	10474	25894	26751	0.9679638144368434	25064.455011027625
PANTHER_count_0.35_0.01	20621	5534	875	141032	946	590	103	10474	26155	27030	0.9676285608583056	25308.325009248983
PANTHER_count_0.35_1	20645	5540	875	141002	947	591	103	10473	26185	27060	0.9676644493717664	25338.293606799703
InterPro_count_0.35_1e-30	9354	6321	0	152387	462	417	0	10492	15675	15675	1.0	15675.0
InterPro_count_0.35_1e-20	12835	7637	4	147586	629	522	1	10484	20472	20476	0.9998046493455753	20468.000781402618
InterPro_count_0.35_1e-15	14541	8612	4	144905	704	589	1	10480	23153	23157	0.9998272660534612	23149.000690935787
InterPro_count_0.35_1e-10	16063	9456	4	142539	791	650	1	10477	25519	25523	0.9998432786114485	25515.000626885554
InterPro_count_0.35_1e-05	16982	9915	4	141161	843	699	1	10474	26897	26901	0.9998513066428757	26893.000594773428
InterPro_count_0.35_0.01	17240	9975	4	140843	863	706	1	10474	27215	27219	0.9998530438296778	27211.00058782468
InterPro_count_0.35_1	17273	9990	4	140795	866	708	1	10472	27263	27267	0.999853302526864	27259.000586789894
Pfam_count_0.35_1e-30	12671	2865	71	152455	541	201	10	10493	15536	15607	0.9954507592746844	15465.322996091498
Pfam_count_0.35_1e-20	17104	3113	144	147701	720	244	18	10485	20217	20361	0.9929276558125829	20074.018417562987
Pfam_count_0.35_1e-15	19438	3368	184	145072	805	273	22	10481	22806	22990	0.9919965202261853	22623.47264027838
Pfam_count_0.35_1e-10	21555	3543	194	142770	907	291	25	10478	25098	25292	0.9923295903843112	24905.488059465442
Pfam_count_0.35_1e-05	22868	3583	200	141411	972	303	28	10475	26451	26651	0.9924955911598063	26252.50088176804
Pfam_count_0.35_0.01	23157	3594	200	141111	991	308	28	10475	26751	26951	0.9925791250788468	26552.48417498423
Pfam_count_0.35_1	23203	3594	200	141065	993	308	28	10474	26797	26997	0.9925917694558655	26598.481646108827
eggNOG_count_0.35_1e-30	4285	72	469	163236	249	9	77	10508	4357	4826	0.9028180687940324	3933.578325735599
eggNOG_count_0.35_1e-20	5797	78	567	161620	337	12	103	10507	5875	6442	0.9119838559453586	5357.905153678982
eggNOG_count_0.35_1e-15	6910	82	650	160420	396	12	118	10506	6992	7642	0.9149437320073279	6397.286574195236
eggNOG_count_0.35_1e-10	7764	86	709	159503	444	14	134	10505	7850	8559	0.9171632200023367	7199.7312770183435
eggNOG_count_0.35_1e-05	8325	87	761	158889	482	15	153	10505	8412	9173	0.9170391365965334	7714.133217050038
eggNOG_count_0.35_0.01	8393	87	834	158748	487	15	160	10505	8480	9314	0.9104573759931286	7720.678548421731
eggNOG_count_0.35_1	8395	87	838	158742	488	15	162	10504	8482	9320	0.9100858369098712	7719.3480686695275
EC number_count_0.4_1e-30	5191	86	418	162367	185	17	40	10504	5277	5695	0.9266022827041265	4889.680245829675
EC number_count_0.4_1e-20	5644	86	563	161769	208	17	54	10503	5730	6293	0.910535515652312	5217.368504687748
EC number_count_0.4_1e-15	5735	86	598	161643	213	17	57	10503	5821	6419	0.9068390715064651	5278.710235239134
EC number_count_0.4_1e-10	5858	86	606	161512	219	17	58	10503	5944	6550	0.9074809160305344	5394.0665648854965
EC number_count_0.4_1e-05	5867	86	606	161503	221	17	58	10503	5953	6559	0.9076078670529044	5402.98963256594
EC number_count_0.4_0.01	5869	86	606	161501	222	17	58	10503	5955	6561	0.9076360310928212	5404.97256515775
EC number_count_0.4_1	5869	86	606	161501	222	17	58	10503	5955	6561	0.9076360310928212	5404.97256515775
Protein families_count_0.4_1e-30	8361	68	591	159042	306	14	58	10503	8429	9020	0.9344789356984479	7876.722949002217
Protein families_count_0.4_1e-20	10784	78	706	156494	395	17	67	10501	10862	11568	0.938969571230982	10199.087482710927
Protein families_count_0.4_1e-15	12099	82	743	155138	440	19	69	10501	12181	12924	0.9425100588053235	11480.715026307646
Protein families_count_0.4_1e-10	13135	82	743	154102	482	19	69	10501	13217	13960	0.9467765042979943	12513.54505730659
Protein families_count_0.4_1e-05	13825	82	745	153410	511	19	70	10500	13907	14652	0.9491536991536992	13199.880494130495
Protein families_count_0.4_0.01	13964	82	747	153269	517	19	71	10500	14046	14793	0.9495031433786251	13336.721151896169
Protein families_count_0.4_1	13981	82	747	153252	519	19	71	10499	14063	14810	0.949561107359892	13353.67785280216
OrthoDB_count_0.4_1e-30	4647	0	925	162490	259	0	129	10504	4647	5572	0.8339913854989232	3875.557968413496
OrthoDB_count_0.4_1e-20	6202	0	1035	160825	345	0	158	10503	6202	7237	0.8569849385104324	5315.0205886417025
OrthoDB_count_0.4_1e-15	7179	0	1160	159723	392	0	178	10503	7179	8339	0.8608945916776591	6180.362273653915
OrthoDB_count_0.4_1e-10	7847	0	1318	158897	428	0	194	10503	7847	9165	0.8561920349154392	6718.538897981451
OrthoDB_count_0.4_1e-05	8203	0	1401	158458	448	0	208	10503	8203	9604	0.8541232819658475	7006.373281965847
OrthoDB_count_0.4_0.01	8266	0	1428	158368	455	0	211	10503	8266	9694	0.8526923870435321	7048.355271301836
OrthoDB_count_0.4_1	8272	0	1433	158357	457	0	212	10502	8272	9705	0.852344152498712	7050.590829469345
PANTHER_count_0.4_1e-30	8965	2132	111	156854	399	227	18	10498	11097	11208	0.9900963597430407	10987.099304068523
PANTHER_count_0.4_1e-20	11418	2699	209	153736	516	285	31	10493	14117	14326	0.9854111405835544	13911.049071618037
PANTHER_count_0.4_1e-15	12709	3029	282	152042	578	327	37	10493	15738	16020	0.9823970037453184	15460.964044943821
PANTHER_count_0.4_1e-10	13730	3337	352	150643	630	365	44	10493	17067	17419	0.9797921809518342	16722.113152304955
PANTHER_count_0.4_1e-05	14323	3524	375	149840	661	391	48	10491	17847	18222	0.9794204807375699	17479.71731972341
PANTHER_count_0.4_0.01	14460	3554	377	149671	668	399	49	10491	18014	18391	0.9795008428035452	17644.728182263065
PANTHER_count_0.4_1	14479	3560	377	149646	669	400	49	10490	18039	18416	0.979528670721112	17669.71769113814
InterPro_count_0.4_1e-30	7221	4051	0	156790	350	289	0	10498	11272	11272	1.0	11272.0
InterPro_count_0.4_1e-20	9539	4857	0	153666	458	356	0	10493	14396	14396	1.0	14396.0
InterPro_count_0.4_1e-15	10590	5540	0	151932	509	398	0	10493	16130	16130	1.0	16130.0
InterPro_count_0.4_1e-10	11504	6025	0	150533	558	431	0	10493	17529	17529	1.0	17529.0
InterPro_count_0.4_1e-05	12057	6283	0	149722	593	461	0	10491	18340	18340	1.0	18340.0
InterPro_count_0.4_0.01	12204	6309	0	149549	603	463	0	10491	18513	18513	1.0	18513.0
InterPro_count_0.4_1	12229	6322	0	149511	605	465	0	10490	18551	18551	1.0	18551.0
Pfam_count_0.4_1e-30	9448	1736	50	156828	400	140	7	10499	11184	11234	0.9955492255652484	11134.222538721739
Pfam_count_0.4_1e-20	12399	1830	86	153747	521	158	9	10494	14229	14315	0.993992315752707	14143.516660845267
Pfam_count_0.4_1e-15	13984	1950	94	152034	577	173	11	10494	15934	16028	0.9941352632892438	15840.55128525081
Pfam_count_0.4_1e-10	15219	2056	96	150691	635	181	12	10494	17275	17371	0.9944735478671349	17179.530539404757
Pfam_count_0.4_1e-05	16003	2065	97	149897	676	183	13	10492	18068	18165	0.9946600605560143	17971.517974126065
Pfam_count_0.4_0.01	16164	2065	97	149736	685	183	13	10492	18229	18326	0.9947069736985703	18132.513423551238
Pfam_count_0.4_1	16201	2065	97	149699	687	183	13	10491	18266	18363	0.994717638730055	18169.512389043186
eggNOG_count_0.4_1e-30	2993	22	223	164824	179	5	41	10508	3015	3238	0.9311303273625695	2807.357936998147
eggNOG_count_0.4_1e-20	3957	22	267	163816	236	5	52	10508	3979	4246	0.9371172868582195	3728.7896844088555
eggNOG_count_0.4_1e-15	4749	22	305	162986	275	5	63	10508	4771	5076	0.9399133175728921	4484.326438140268
eggNOG_count_0.4_1e-10	5240	22	317	162483	303	5	69	10508	5262	5579	0.9431797813228177	4963.012009320667
eggNOG_count_0.4_1e-05	5587	22	338	162115	326	5	76	10508	5609	5947	0.9431646208172187	5290.21035816378
eggNOG_count_0.4_0.01	5617	22	380	162043	328	5	80	10508	5639	6019	0.9368665891344077	5282.990696128925
eggNOG_count_0.4_1	5619	22	382	162039	329	5	81	10507	5641	6023	0.9365764569151586	5283.227793458409
EC number_count_0.45_1e-30	3519	66	273	164204	149	11	28	10505	3585	3858	0.9292379471228616	3331.318040435459
EC number_count_0.45_1e-20	3748	66	354	163894	161	11	37	10504	3814	4168	0.9150671785028791	3490.066218809981
EC number_count_0.45_1e-15	3776	66	358	163862	163	11	38	10504	3842	4200	0.9147619047619048	3514.515238095238
EC number_count_0.45_1e-10	3851	66	360	163785	167	11	39	10504	3917	4277	0.9158288519990647	3587.3016132803364
EC number_count_0.45_1e-05	3856	66	360	163780	170	11	39	10504	3922	4282	0.9159271368519384	3592.2662307333026
EC number_count_0.45_0.01	3857	66	360	163779	170	11	39	10504	3923	4283	0.915946766285314	3593.259164137287
EC number_count_0.45_1	3857	66	360	163779	170	11	39	10504	3923	4283	0.915946766285314	3593.259164137287
Protein families_count_0.45_1e-30	5956	38	339	161729	236	6	38	10504	5994	6333	0.946470866887731	5673.14637612506
Protein families_count_0.45_1e-20	7525	46	414	160077	296	8	46	10502	7571	7985	0.94815278647464	7178.464746399499
Protein families_count_0.45_1e-15	8375	48	430	159209	328	9	48	10502	8423	8853	0.9514288941601717	8013.885575511126
Protein families_count_0.45_1e-10	8999	48	430	158585	354	9	48	10502	9047	9477	0.9546269916640286	8636.510393584467
Protein families_count_0.45_1e-05	9477	48	430	158107	376	9	48	10501	9525	9955	0.9568056253139126	9113.573581115017
Protein families_count_0.45_0.01	9532	48	432	158050	379	9	49	10501	9580	10012	0.9568517778665602	9166.640031961646
Protein families_count_0.45_1	9547	48	432	158035	380	9	49	10501	9595	10027	0.956916325920016	9181.612147202553
OrthoDB_count_0.45_1e-30	3115	0	623	164324	176	0	82	10505	3115	3738	0.8333333333333334	2595.8333333333335
OrthoDB_count_0.45_1e-20	4122	0	687	163253	233	0	100	10504	4122	4809	0.8571428571428571	3533.142857142857
OrthoDB_count_0.45_1e-15	4750	0	765	162547	266	0	110	10504	4750	5515	0.8612873980054397	4091.115140525839
OrthoDB_count_0.45_1e-10	5083	0	851	162128	283	0	118	10504	5083	5934	0.8565891472868217	4354.042635658914
OrthoDB_count_0.45_1e-05	5335	0	875	161852	300	0	122	10504	5335	6210	0.8590982286634461	4583.289049919485
OrthoDB_count_0.45_0.01	5357	0	892	161813	303	0	123	10504	5357	6249	0.8572571611457833	4592.326612257962
OrthoDB_count_0.45_1	5361	0	897	161804	304	0	124	10504	5361	6258	0.8566634707574304	4592.572866730585
PANTHER_count_0.45_1e-30	6188	1399	71	160404	296	161	9	10500	7587	7658	0.9907286497780099	7516.658265865761
PANTHER_count_0.45_1e-20	7769	1744	105	158444	374	198	15	10496	9513	9618	0.9890829694323144	9409.146288209608
