cluster_representer_or_OG	OGsize	OGhypotetical_proteins	only_hypothetical_OG
DQ04_08561000	61	59.0	False
DQ04_08631030	13		False
DQ04_08661000	27	6.0	False
DQ04_08701010	62	6.0	False
DQ04_08751020	19	16.0	False
DQ04_08781000	18	18.0	True
DQ04_09011020	28	10.0	False
DQ04_09011050	52	23.0	False
DQ04_09071030	27	27.0	True
DQ04_09091010	16	1.0	False
DQ04_09101010	61	60.0	False
DQ04_09121010	64	12.0	False
DQ04_09191010	32	31.0	False
DQ04_09191020	28	2.0	False
DQ04_09211030	79	7.0	False
DQ04_09231000	61	30.0	False
DQ04_09271010	14	13.0	False
DQ04_09291000	16	16.0	True
DQ04_09391010	18	18.0	True
DQ04_09411010	28	27.0	False
DQ04_09441010	65	65.0	True
DQ04_09521010	52	20.0	False
DQ04_09571010	58	13.0	False
DQ04_09601020	13	13.0	True
DQ04_09611020	23	18.0	False
DQ04_09621000	16	15.0	False
DQ04_09731000	24		False
DQ04_09761020	57	23.0	False
DQ04_09771010	30	9.0	False
DQ04_09781020	11	10.0	False
DQ04_09791010	32	17.0	False
DQ04_09881030	12	10.0	False
DQ04_09961020	14	11.0	False
DQ04_10011020	64	7.0	False
DQ04_10161030	17	16.0	False
DQ04_10171020	12	7.0	False
DQ04_10181010	14	11.0	False
DQ04_10191000	25	24.0	False
DQ04_10271020	25	18.0	False
DQ04_10321010	31		False
DQ04_10351000	14	13.0	False
DQ04_10391000	28	1.0	False
DQ04_10461000	39	13.0	False
DQ04_10511010	28		False
DQ04_10521010	33		False
DQ04_10551010	13	12.0	False
DQ04_10551020	55	55.0	True
DQ04_10561000	50	24.0	False
DQ04_10561010	14	14.0	True
DQ04_10621000	14	13.0	False
DQ04_10631010	65	15.0	False
DQ04_10811000	58	14.0	False
DQ04_10831030	66	41.0	False
DQ04_10851000	17	9.0	False
DQ04_10941010	64	26.0	False
DQ04_10971000	63	60.0	False
DQ04_11011000	62	7.0	False
DQ04_11011010	27	26.0	False
DQ04_11061020	17		False
DQ04_11181010	26	25.0	False
DQ04_11231000	26	23.0	False
DQ04_11241010	17	16.0	False
DQ04_11601000	60	33.0	False
DQ04_11701010	28	28.0	True
DQ04_11841000	10		False
DQ04_11921000	41	11.0	False
DQ04_11921020	63	6.0	False
DQ04_11941000	12	12.0	True
DQ04_11951000	16	15.0	False
DQ04_11971000	31	14.0	False
DQ04_12281000	32	15.0	False
DQ04_12381000	12	11.0	False
DQ04_12521000	16	16.0	True
DQ04_12581000	12	11.0	False
DQ04_12711000	14	14.0	True
DQ04_12801010	18	12.0	False
DQ04_12951000	29	29.0	True
DQ04_13211010	66	19.0	False
DQ04_13381010	30	11.0	False
DQ04_13471020	15	14.0	False
DQ04_13611010	18	18.0	True
DQ04_13621000	52	8.0	False
DQ04_13731000	20	20.0	True
DQ04_13751000	17	15.0	False
DQ04_13751010	47	15.0	False
DQ04_14141010	13	6.0	False
DQ04_14241000	16		False
DQ04_14451000	18	8.0	False
DQ04_14491000	63	15.0	False
DQ04_14971000	15	14.0	False
DQ04_15081010	15	15.0	True
DQ04_15151000	67	33.0	False
DQ04_15251010	13	1.0	False
DQ04_15271000	27	26.0	False
DQ04_15301010	15	14.0	False
DQ04_15461000	18	1.0	False
DQ04_15521010	25	25.0	True
DQ04_15521020	21	21.0	True
DQ04_15651000	28		False
DQ04_15701010	17	14.0	False
DQ04_15851000	18	2.0	False
DQ04_15891010	25	25.0	True
DQ04_15911010	15	14.0	False
DQ04_17421010	10	7.0	False
DQ04_17751010	16	16.0	True
DQ04_18181000	32	20.0	False
DQ04_18411000	65	21.0	False
DQ04_18771000	16	16.0	True
DQ04_18941000	13		False
DQ04_20041000	27	27.0	True
DQ04_20241010	22	22.0	True
DQ04_20821000	20	13.0	False
DQ04_20831000	18	1.0	False
DQ04_21621000	10	10.0	True
DQ04_23041000	12	1.0	False
DQ04_23071000	19	19.0	True
DQ04_23551000	11	11.0	True
DQ04_26491000	11	1.0	False
ECC02_000129	68	6.0	False
ECC02_000158	18		False
ECC02_000161	12		False
ECC02_000174	12	12.0	True
ECC02_000220	16		False
ECC02_000293	13	8.0	False
ECC02_000323	15		False
ECC02_000445	18	17.0	False
ECC02_000548	24	7.0	False
ECC02_000556	68	9.0	False
ECC02_000562	26	15.0	False
ECC02_000615	64	21.0	False
ECC02_000648	16	11.0	False
ECC02_000649	10	10.0	True
ECC02_000677	20		False
ECC02_000775	27	27.0	True
ECC02_000783	13	12.0	False
ECC02_000826	129	11.0	False
ECC02_000836	55	10.0	False
ECC02_000870	15	14.0	False
ECC02_000942	25	25.0	True
ECC02_001004	64	6.0	False
ECC02_001037	27	13.0	False
ECC02_001039	17	5.0	False
ECC02_001042	14	12.0	False
ECC02_001052	30	29.0	False
ECC02_001067	17		False
ECC02_001178	17	17.0	True
ECC02_001234	21	20.0	False
ECC02_001240	15	14.0	False
ECC02_001311	61	11.0	False
ECC02_001345	28		False
ECC02_001426	57	42.0	False
ECC02_001688	12	12.0	True
ECC02_001805	23	20.0	False
ECC02_001820	14	13.0	False
ECC02_001851	26	25.0	False
ECC02_001951	64	17.0	False
ECC02_002067	59	7.0	False
ECC02_002091	15	14.0	False
ECC02_002107	24	13.0	False
ECC02_002168	13		False
ECC02_002234	12	8.0	False
ECC02_002352	76		False
ECC02_002402	185	6.0	False
ECC02_002500	184	21.0	False
ECC02_002506	14	13.0	False
ECC02_002552	59	6.0	False
ECC02_002857	10	2.0	False
ECC02_002886	18	12.0	False
ECC02_002994	14	13.0	False
ECC02_003017	11	7.0	False
ECC02_003081	10	9.0	False
ECC02_003151	66	65.0	False
ECC02_003268	11		False
ECC02_003298	58	57.0	False
ECC02_003475	65	9.0	False
ECC02_003500	61	6.0	False
ECC02_003510	12	11.0	False
ECC02_003599	10	6.0	False
ECC02_003635	59	54.0	False
ECC02_003674	19	18.0	False
ECC02_003761	56	14.0	False
ECC02_003765	63	6.0	False
ECC02_003771	34	6.0	False
ECC02_003786	28	12.0	False
ECC02_003868	114	12.0	False
ECC02_003896	12	12.0	True
ECC02_003979	67	6.0	False
ECC02_003989	20	19.0	False
ECC02_004048	62	61.0	False
ECC02_004267	20	18.0	False
ECC02_004289	12	11.0	False
ECC02_004446	14	12.0	False
ECC02_004462	15		False
ECC02_004606	58	6.0	False
ECC02_004650	21	3.0	False
ECC02_004675	51	19.0	False
ECC02_004684	15	6.0	False
ECC02_004687	17		False
ECC02_004717	16	12.0	False
ECC02_004780	23	23.0	True
ECC02_004797	58	6.0	False
ECC02_004800	11	10.0	False
ECC02_004920	22	21.0	False
ECC02_004941	14	7.0	False
ECC02_005012	17		False
ECC02_005014	13	12.0	False
ECC02_005045	16	15.0	False
ECC02_005107	10	6.0	False
ECC02_005182	12	11.0	False
ECC02_005200	24	15.0	False
ECC02_005300	19	19.0	True
ECC02_005302	13	8.0	False
ECC02_005332	26	3.0	False
ECC02_005430	69	37.0	False
ECC02_005449	13		False
ECC02_005497	15	14.0	False
ECC02_005692	23	23.0	True
ECC02_005824	19		False
ECC02_005844	58	57.0	False
ECC02_005949	14	7.0	False
ECC02_005954	49	44.0	False
ECC02_005963	29	1.0	False
ECC02_005985	58	6.0	False
ECC02_006042	64	59.0	False
ECC02_006163	67	5.0	False
ECC02_006194	26	2.0	False
ECC02_006220	29	25.0	False
ECC02_006323	17	16.0	False
ECC02_006348	64	19.0	False
ECC02_006362	19	8.0	False
ECC02_006479	17	17.0	True
ECC02_006549	29	27.0	False
ECC02_006575	63	48.0	False
ECC02_006577	59	52.0	False
ECC02_006661	15	14.0	False
ECC02_006706	64	21.0	False
ECC02_006740	28		False
ECC02_006782	11	10.0	False
ECC02_006783	51	14.0	False
ECC02_006860	19	14.0	False
ECC02_006879	15	12.0	False
ECC02_006937	113	2.0	False
ECC02_006945	13	13.0	True
ECC02_006981	12	3.0	False
ECC02_007012	64	6.0	False
ECC02_007023	10	1.0	False
ECC02_007112	26	23.0	False
ECC02_007140	68	8.0	False
ECC02_007286	34	1.0	False
ECC02_007424	18	3.0	False
ECC02_007558	15	9.0	False
ECC02_007620	17	1.0	False
ECC02_007688	27	26.0	False
ECC02_007754	31	15.0	False
ECC02_007760	104	18.0	False
ECC02_007786	33		False
ECC02_007895	10		False
ECC02_007985	23	23.0	True
ECC02_007997	24	19.0	False
ECC02_008113	12	4.0	False
ECC02_008308	12		False
ECC02_008378	13		False
ECC02_008433	19	8.0	False
ECC02_008451	29	16.0	False
ECC02_008480	18	1.0	False
ECC02_008517	62	6.0	False
ECC02_008546	61	7.0	False
ECC02_008681	11		False
ECC02_008709	10	7.0	False
ECC02_008785	29	28.0	False
ECC02_008980	10		False
ECC02_009047	32	25.0	False
ECC02_009138	59	58.0	False
ECC02_009272	56	1.0	False
ECC02_009273	11	9.0	False
ECC02_009295	23	22.0	False
ECC02_009297	26		False
ECC02_009315	27	11.0	False
ECC02_009326	15		False
ECC02_009358	10	4.0	False
ECC02_009397	33	24.0	False
ECC02_009463	52	5.0	False
ECC02_009523	16	13.0	False
ECC02_009584	102		False
ECC02_009587	23	7.0	False
ECC02_009591	31		False
ECC02_009610	110		False
ECC02_009763	24	1.0	False
ECC02_009921	21	2.0	False
ECC02_009930	13	8.0	False
ECC02_010033	94	89.0	False
ECC02_010084	11	2.0	False
ECC02_010221	20		False
ECC02_010230	14		False
ECC02_010354	72		False
ECC02_010408	33	25.0	False
ECC02_010476	10	2.0	False
ECC02_010613	25	8.0	False
ECC02_010630	16	10.0	False
ECC02_010776	438	3.0	False
ECC02_010852	14	12.0	False
ECC02_010897	12		False
ECC02_010932	12		False
ECC02_010936	10	7.0	False
ECC02_011119	374	1.0	False
ECC02_011153	28	19.0	False
ECC02_011184	28	28.0	True
ECC02_011257	17	2.0	False
ECC02_011346	13	7.0	False
ECC02_011389	17	9.0	False
ECC02_011402	40	39.0	False
ECC02_011446	16	14.0	False
ECC02_011696	13	11.0	False
ECC02_011841	29	22.0	False
ECC02_011867	78	41.0	False
ECC02_012074	10	2.0	False
ECC02_012103	134	41.0	False
ECC02_012171	11	10.0	False
ECC02_012204	108	17.0	False
ECC02_012346	10	6.0	False
ECC02_012347	10	4.0	False
ECC02_012395	13	10.0	False
ECC02_012454	10		False
ECC02_012466	14		False
ECC02_012469	37		False
ECC02_012558	13	11.0	False
ECC02_012584	13	2.0	False
ECC02_012585	36	14.0	False
ECC02_012598	39	5.0	False
ECC02_012610	38	25.0	False
ECC02_012676	16	7.0	False
ECC02_012715	95	2.0	False
ECC02_012846	20	2.0	False
ECC02_012872	65	7.0	False
ECC02_012969	84	6.0	False
ECC02_013098	12		False
ECC02_013108	43	34.0	False
ECC02_013308	20		False
ECC02_013347	22	20.0	False
ECC02_013481	11	11.0	True
ECC02_013570	18	8.0	False
ECC02_013586	57	17.0	False
ECC02_013740	11	1.0	False
ECC02_013742	63		False
ECC02_013743	13	1.0	False
ECC02_013788	89		False
ECC02_013804	13	2.0	False
ECC02_013805	17		False
ECC02_013817	16	9.0	False
ECC02_013843	12	1.0	False
EMOLV88_000014000	15	1.0	False
EMOLV88_000015000	12		False
EMOLV88_000015900	35	11.0	False
EMOLV88_000016500	34	11.0	False
EMOLV88_000021400	14	3.0	False
EMOLV88_000024000	142	2.0	False
EMOLV88_000024200	22		False
EMOLV88_000026200	31		False
EMOLV88_000036200	22	1.0	False
EMOLV88_000046200	66	8.0	False
EMOLV88_000054400	10	6.0	False
EMOLV88_000056100	18	18.0	True
EMOLV88_000060400	26	23.0	False
EMOLV88_010006000	33	33.0	True
EMOLV88_010007200	33	9.0	False
EMOLV88_010011300	32	32.0	True
EMOLV88_010011900	35	35.0	True
EMOLV88_010012600	11	6.0	False
EMOLV88_020005500	33	10.0	False
EMOLV88_020006700	53	7.0	False
EMOLV88_030007400	33	33.0	True
EMOLV88_030008000	30	10.0	False
EMOLV88_030008700	35	6.0	False
EMOLV88_030011900	36	36.0	True
EMOLV88_030012700	31	7.0	False
EMOLV88_030013400	34	34.0	True
EMOLV88_040005300	35	34.0	False
EMOLV88_040010100	27	7.0	False
EMOLV88_040011700	32	32.0	True
EMOLV88_040011900	31	31.0	True
EMOLV88_040013200	34	1.0	False
EMOLV88_040014800	34	34.0	True
EMOLV88_040015200	15	7.0	False
EMOLV88_040015700	34	34.0	True
EMOLV88_050011500	35	15.0	False
EMOLV88_050013800	35	6.0	False
EMOLV88_050013900	37	6.0	False
EMOLV88_060005100	36	32.0	False
EMOLV88_060006800	34	34.0	True
EMOLV88_060007200	35	11.0	False
EMOLV88_060007900	36	34.0	False
EMOLV88_060011500	16	16.0	True
EMOLV88_060014600	34	15.0	False
EMOLV88_060017400	32	32.0	True
EMOLV88_070008000	30	5.0	False
EMOLV88_070008200	33	32.0	False
EMOLV88_070016700	41	12.0	False
EMOLV88_080006900	35	34.0	False
EMOLV88_080008700	31	31.0	True
EMOLV88_080010800	13	13.0	True
EMOLV88_090013500	66	7.0	False
EMOLV88_090013700	124	12.0	False
EMOLV88_090013900	34	34.0	True
EMOLV88_090019400	42	42.0	True
EMOLV88_090020700	12	12.0	True
EMOLV88_090021200	37	28.0	False
EMOLV88_100007200	31	30.0	False
EMOLV88_100008100	59	59.0	True
EMOLV88_100010100	36	36.0	True
EMOLV88_100013400	10	9.0	False
EMOLV88_110005300	18		False
EMOLV88_110006900	19	19.0	True
EMOLV88_110008200	33	33.0	True
EMOLV88_110011000	34	6.0	False
EMOLV88_110011300	20	5.0	False
EMOLV88_110013500	53	4.0	False
EMOLV88_110014300	34	6.0	False
EMOLV88_110018900	34	33.0	False
EMOLV88_120005200	69	6.0	False
EMOLV88_120011900	34	34.0	True
EMOLV88_120014100	57	10.0	False
EMOLV88_130005400	33	5.0	False
EMOLV88_130006200	12	12.0	True
EMOLV88_130006700	26	26.0	True
EMOLV88_130007100	68	20.0	False
EMOLV88_130012000	17	17.0	True
EMOLV88_130013200	35	35.0	True
EMOLV88_130017000	35	35.0	True
EMOLV88_130017700	26	26.0	True
EMOLV88_130018000	21	21.0	True
EMOLV88_140009000	53	17.0	False
EMOLV88_140010600	35	35.0	True
EMOLV88_140013000	35	35.0	True
EMOLV88_140013600	30	6.0	False
EMOLV88_140016600	10	10.0	True
EMOLV88_140018800	21	21.0	True
EMOLV88_150008600	27	27.0	True
EMOLV88_150009300	33	32.0	False
EMOLV88_150011800	31	31.0	True
EMOLV88_150016600	14		False
EMOLV88_150017000	34	34.0	True
EMOLV88_150018100	34	34.0	True
EMOLV88_150019800	63	2.0	False
EMOLV88_160006200	31	31.0	True
EMOLV88_160008600	35	6.0	False
EMOLV88_160008900	11	11.0	True
EMOLV88_160013000	34	34.0	True
EMOLV88_160016800	55	6.0	False
EMOLV88_160017000	35	10.0	False
EMOLV88_160019700	37	37.0	True
EMOLV88_160020800	129	55.0	False
EMOLV88_170008100	35	11.0	False
EMOLV88_170008600	34	34.0	True
EMOLV88_170009700	35	35.0	True
EMOLV88_170013500	35	16.0	False
EMOLV88_170015000	63	62.0	False
EMOLV88_180005100	63	7.0	False
EMOLV88_180005400	37	11.0	False
EMOLV88_180006900	35	6.0	False
EMOLV88_180011400	34	12.0	False
EMOLV88_180017500	33	26.0	False
EMOLV88_180018400	34	7.0	False
EMOLV88_190008500	32	32.0	True
EMOLV88_190010100	59	51.0	False
EMOLV88_190012500	34	34.0	True
EMOLV88_190013500	36	36.0	True
EMOLV88_190019600	35	9.0	False
EMOLV88_200008500	74	28.0	False
EMOLV88_200010600	35	35.0	True
EMOLV88_200011900	32	14.0	False
EMOLV88_200012800	59	19.0	False
EMOLV88_200013300	35	11.0	False
EMOLV88_200015600	34	11.0	False
EMOLV88_200020200	57	56.0	False
EMOLV88_210007700	35	35.0	True
EMOLV88_210009500	41	39.0	False
EMOLV88_210010900	65	6.0	False
EMOLV88_210014200	34	34.0	True
EMOLV88_210016500	35	30.0	False
EMOLV88_210022100	35	35.0	True
EMOLV88_210022300	36	32.0	False
EMOLV88_220006600	66	40.0	False
EMOLV88_220007300	30	30.0	True
EMOLV88_220008100	33	33.0	True
EMOLV88_220008700	66	8.0	False
EMOLV88_220010100	35	35.0	True
EMOLV88_220015000	33	10.0	False
EMOLV88_220016100	27	9.0	False
EMOLV88_220018200	27	11.0	False
EMOLV88_220020600	58	57.0	False
EMOLV88_230008100	35	35.0	True
EMOLV88_230010100	38	23.0	False
EMOLV88_230012500	31	31.0	True
EMOLV88_230012600	65	18.0	False
EMOLV88_230013300	64	10.0	False
EMOLV88_240006800	35	10.0	False
EMOLV88_240007100	59	45.0	False
EMOLV88_240008100	35	35.0	True
EMOLV88_240009700	35	35.0	True
EMOLV88_240011300	25	25.0	True
EMOLV88_240011400	25	24.0	False
EMOLV88_240014800	33	6.0	False
EMOLV88_240016700	30	30.0	True
EMOLV88_240016800	29	29.0	True
EMOLV88_240018300	35	11.0	False
EMOLV88_250005200	36	14.0	False
EMOLV88_250009100	31	31.0	True
EMOLV88_250012200	32	6.0	False
EMOLV88_250013400	35	11.0	False
EMOLV88_250013800	34	27.0	False
EMOLV88_250016200	37	37.0	True
EMOLV88_250021500	33	11.0	False
EMOLV88_250021600	38	7.0	False
EMOLV88_250022600	65	8.0	False
EMOLV88_260005400	36	36.0	True
EMOLV88_260009200	26	1.0	False
EMOLV88_260009400	18	18.0	True
EMOLV88_260010500	68	62.0	False
EMOLV88_260013800	66	20.0	False
EMOLV88_260014100	10		False
EMOLV88_260015000	34	34.0	True
EMOLV88_260016600	33	32.0	False
EMOLV88_260016900	33	21.0	False
EMOLV88_260019300	22	22.0	True
EMOLV88_260023800	26	12.0	False
EMOLV88_260024000	13	1.0	False
EMOLV88_260025300	35	35.0	True
EMOLV88_260030300	17	17.0	True
EMOLV88_260030700	53	14.0	False
EMOLV88_260030900	23	23.0	True
EMOLV88_270011300	33	30.0	False
EMOLV88_270011900	33	33.0	True
EMOLV88_270012900	34	17.0	False
EMOLV88_270014800	64	48.0	False
EMOLV88_270015200	60	59.0	False
EMOLV88_270015600	56	53.0	False
EMOLV88_270017000	65	62.0	False
EMOLV88_270021100	35	35.0	True
EMOLV88_270024400	36	19.0	False
EMOLV88_270025500	115	13.0	False
EMOLV88_270026000	33	5.0	False
EMOLV88_280014200	38	13.0	False
EMOLV88_280017100	64	60.0	False
EMOLV88_280018600	34	34.0	True
EMOLV88_280019100	32	32.0	True
EMOLV88_280025200	62	23.0	False
EMOLV88_280026700	30	30.0	True
EMOLV88_280027400	34	28.0	False
EMOLV88_280031300	60	17.0	False
EMOLV88_290006500	36	22.0	False
EMOLV88_300011600	35	35.0	True
EMOLV88_300014500	13	4.0	False
EMOLV88_300016100	16	16.0	True
EMOLV88_300017200	28	5.0	False
EMOLV88_300019600	37	7.0	False
EMOLV88_300020500	37	7.0	False
EMOLV88_300021500	36	36.0	True
EMOLV88_300026400	54	52.0	False
EMOLV88_300028600	35	35.0	True
EMOLV88_300028700	35	9.0	False
EMOLV88_300029600	34	34.0	True
EMOLV88_300032500	65	6.0	False
EMOLV88_310006500	35	35.0	True
EMOLV88_310008900	34	6.0	False
EMOLV88_310009500	37	37.0	True
EMOLV88_310010500	43		False
EMOLV88_310011700	33	33.0	True
EMOLV88_310013000	36	8.0	False
EMOLV88_310013300	86	83.0	False
EMOLV88_310016700	30	9.0	False
EMOLV88_310017900	35	8.0	False
EMOLV88_310018200	34	5.0	False
EMOLV88_310019000	24	1.0	False
EMOLV88_310020200	32	32.0	True
EMOLV88_310022200	35	35.0	True
EMOLV88_310023700	28	28.0	True
EMOLV88_310031300	35	11.0	False
EMOLV88_320007000	57	56.0	False
EMOLV88_320009500	58	58.0	True
EMOLV88_320012800	24	6.0	False
EMOLV88_320015700	32	32.0	True
EMOLV88_320016800	12	1.0	False
EMOLV88_320017100	36	10.0	False
EMOLV88_320017900	36	16.0	False
EMOLV88_320019500	33	9.0	False
EMOLV88_320021800	33	33.0	True
EMOLV88_320023800	32	30.0	False
EMOLV88_320026500	65	23.0	False
EMOLV88_320028100	34	29.0	False
EMOLV88_320030400	27	27.0	True
EMOLV88_320032700	56	8.0	False
EMOLV88_320035400	10	2.0	False
EMOLV88_320038700	53	43.0	False
EMOLV88_320040500	30	30.0	True
EMOLV88_330009300	30	30.0	True
EMOLV88_330014200	35	18.0	False
EMOLV88_330014900	59	59.0	True
EMOLV88_330023000	15	3.0	False
EMOLV88_330024800	26	26.0	True
EMOLV88_330027300	35	35.0	True
EMOLV88_330030100	37	37.0	True
EMOLV88_330035500	32	32.0	True
EMOLV88_340005900	62	61.0	False
EMOLV88_340007900	20	11.0	False
EMOLV88_340012500	13	1.0	False
EMOLV88_340026300	36	36.0	True
EMOLV88_340040600	35	35.0	True
EMOLV88_340042500	64	43.0	False
EMOLV88_340043000	44	14.0	False
EMOLV88_350007300	66	64.0	False
EMOLV88_350010600	31	31.0	True
EMOLV88_350011800	35	35.0	True
EMOLV88_350012300	35	28.0	False
EMOLV88_350013100	14	14.0	True
EMOLV88_350014900	30	11.0	False
EMOLV88_350020200	56	24.0	False
EMOLV88_350023200	35	35.0	True
EMOLV88_350025300	34	34.0	True
EMOLV88_350025900	35	35.0	True
EMOLV88_350029200	14	1.0	False
EMOLV88_350029700	35	35.0	True
EMOLV88_350030700	32	10.0	False
EMOLV88_350033000	65	64.0	False
EMOLV88_350041200	125	31.0	False
EMOLV88_350041500	106	12.0	False
EMOLV88_350041700	35	35.0	True
EMOLV88_350044100	62	33.0	False
EMOLV88_350047000	66	7.0	False
EMOLV88_350057000	12	8.0	False
EMOLV88_360005300	52	6.0	False
EMOLV88_360017500	26	26.0	True
EMOLV88_360024900	25	25.0	True
EMOLV88_360025200	10	1.0	False
EMOLV88_360026000	31	10.0	False
EMOLV88_360026700	61	7.0	False
EMOLV88_360027600	33	10.0	False
EMOLV88_360027900	33	33.0	True
EMOLV88_360037800	12		False
EMOLV88_360044400	107	13.0	False
EMOLV88_360048000	35	35.0	True
EMOLV88_360050200	34	34.0	True
EMOLV88_360051400	32	32.0	True
EMOLV88_360057400	11	2.0	False
EMOLV88_360061500	34	9.0	False
EMOLV88_360063800	18	18.0	True
EMOLV88_360068500	36	11.0	False
EMOLV88_360068900	30	9.0	False
EMOLV88_360074800	35	35.0	True
EMOLV88_360077400	37	11.0	False
EMOLV88_360080800	64	28.0	False
EMOLV88_360086400	35	35.0	True
EMOLV88_360100900	32	32.0	True
EMOLV88_360101500	35	35.0	True
EMOLV88_360102100	35	17.0	False
GH5_00011	65	7.0	False
GH5_00190	32	32.0	True
GH5_00291	29	10.0	False
GH5_00321	30	7.0	False
GH5_00493	34	8.0	False
GH5_00595	34	34.0	True
GH5_00873	17	10.0	False
GH5_01027	35	35.0	True
GH5_01434	66	66.0	True
GH5_01442	23	23.0	True
GH5_01538	34	34.0	True
GH5_01570	22	22.0	True
GH5_01686	12	1.0	False
GH5_01711	33	29.0	False
GH5_01999	167	26.0	False
GH5_02050	34	34.0	True
GH5_02224	35	11.0	False
GH5_02237	64	52.0	False
GH5_02409	27	27.0	True
GH5_02433	35	35.0	True
GH5_02452	27	10.0	False
GH5_02503	10	10.0	True
GH5_02521	33	33.0	True
GH5_02531	30	30.0	True
GH5_02534	26	26.0	True
GH5_02566	27	27.0	True
GH5_02589	35	33.0	False
GH5_02598	23	7.0	False
GH5_02635	62	14.0	False
GH5_03034	32	32.0	True
GH5_03104	35	35.0	True
GH5_03157	18	18.0	True
GH5_03300	16	7.0	False
GH5_03420	34	34.0	True
GH5_03468	14	11.0	False
GH5_03489	19	19.0	True
GH5_03524	17	17.0	True
GH5_03910	46	5.0	False
GH5_03953	30	30.0	True
GH5_03992	10	3.0	False
GH5_04054	31	31.0	True
GH5_04316	21	21.0	True
GH5_04325	32	19.0	False
GH5_04347	102	12.0	False
GH5_04477	61	6.0	False
GH5_04555	35	35.0	True
GH5_04867	31	31.0	True
GH5_05072	31	9.0	False
GH5_05143	25	25.0	True
GH5_05341	37	6.0	False
GH5_05343	25	3.0	False
GH5_05365	28	3.0	False
GH5_05767	26	26.0	True
GH5_05778	30	30.0	True
GH5_05844	22	5.0	False
GH5_06039	36	36.0	True
GH5_06101	64	5.0	False
GH5_06482	10	10.0	True
GH5_06484	37	11.0	False
GH5_06516	34	6.0	False
GH5_06575	34	10.0	False
GH5_06577	65	5.0	False
GH5_06646	10	7.0	False
GH5_06787	35	35.0	True
GH5_06848	22	22.0	True
GH5_06855	65	19.0	False
GH5_06961	29	16.0	False
GH5_07045	59	59.0	True
GH5_07170	35	19.0	False
GH5_07185	61	57.0	False
GH5_07220	10	10.0	True
GH5_07293	29	6.0	False
GH5_07350	40	3.0	False
GH5_07483	39	8.0	False
GH5_07661	34	6.0	False
GH5_07892	24	8.0	False
GH5_07983	33	33.0	True
GH5_08079	67	22.0	False
GH5_08158	70	6.0	False
GH5_08171	35	35.0	True
GH5_08176	20	9.0	False
GH5_08342	17	17.0	True
GH5_08413	32	8.0	False
JIQ42_00089	35	35.0	True
JIQ42_00159	33	14.0	False
JIQ42_00201	12	12.0	True
JIQ42_00298	11	10.0	False
JIQ42_00315	65	60.0	False
JIQ42_00324	61	4.0	False
JIQ42_00682	51	11.0	False
JIQ42_00801	61	60.0	False
JIQ42_00870	27	25.0	False
JIQ42_01038	34	34.0	True
JIQ42_01136	35	35.0	True
JIQ42_01301	34	34.0	True
JIQ42_01364	254	20.0	False
JIQ42_01412	35	35.0	True
JIQ42_01525	65	10.0	False
JIQ42_01529	34	34.0	True
JIQ42_01666	46	46.0	True
JIQ42_01754	36	36.0	True
JIQ42_01827	36	6.0	False
JIQ42_02004	29	10.0	False
JIQ42_02034	31	6.0	False
JIQ42_02116	15	13.0	False
JIQ42_02135	27	27.0	True
JIQ42_02288	18	18.0	True
JIQ42_02312	19	19.0	True
JIQ42_02365	32	32.0	True
JIQ42_02487	27	11.0	False
JIQ42_02970	66	66.0	True
JIQ42_03131	32	32.0	True
JIQ42_03138	34	6.0	False
JIQ42_03242	36	6.0	False
JIQ42_03258	18	7.0	False
JIQ42_03407	53	53.0	True
JIQ42_03640	65	17.0	False
JIQ42_03781	59	58.0	False
JIQ42_03820	30	6.0	False
JIQ42_04200	33	11.0	False
JIQ42_04219	36	5.0	False
JIQ42_04267	25	7.0	False
JIQ42_04362	34	10.0	False
JIQ42_04489	35	35.0	True
JIQ42_04698	33	33.0	True
JIQ42_04703	30	8.0	False
JIQ42_04809	26	9.0	False
JIQ42_04950	35	11.0	False
JIQ42_05059	31	8.0	False
JIQ42_05194	34	34.0	True
JIQ42_05592	34	34.0	True
JIQ42_05726	27	27.0	True
JIQ42_05804	61	58.0	False
JIQ42_05975	19	18.0	False
JIQ42_06103	47	30.0	False
JIQ42_06110	86	6.0	False
JIQ42_06310	16	16.0	True
JIQ42_06593	67	7.0	False
JIQ42_06601	11	6.0	False
JIQ42_06640	25	13.0	False
JIQ42_07006	35	11.0	False
JIQ42_07190	25	25.0	True
JIQ42_07213	28	6.0	False
JIQ42_07300	36	36.0	True
JIQ42_07378	24	24.0	True
JIQ42_07913	63	25.0	False
JIQ42_08019	37	6.0	False
JIQ42_08137	26	5.0	False
JIQ42_08203	36	4.0	False
JIQ42_08387	31	12.0	False
JIQ42_08429	31	6.0	False
JIQ42_08445	18	6.0	False
JIQ42_08453	64	7.0	False
JIQ42_08482	13	13.0	True
JKF63_00063	30	30.0	True
JKF63_00065	36	7.0	False
JKF63_00072	34	9.0	False
JKF63_00080	34	7.0	False
JKF63_00100	59	12.0	False
JKF63_00140	29	29.0	True
JKF63_00159	30	30.0	True
JKF63_00206	33	33.0	True
JKF63_00207	35	35.0	True
JKF63_00215	35	35.0	True
JKF63_00217	34	33.0	False
JKF63_00239	68	6.0	False
JKF63_00242	36	36.0	True
JKF63_00285	49	48.0	False
JKF63_00441	34	34.0	True
