Ortholog_Group	Gene ID	uniprot	pLDDT_mean
LmxM.13.1510	C3747_318g9	A0A2V2VBK9	86.0
DQ04_02481010	ADEAN_000333900	A0A7G2C9Z9	86.0
TCSYLVIO_007537	TCDM_11513	V5B077	86.0
CFAC1_070021000	LINF_110019600	A0A6L0WK17	86.0
Baya_023_0310	LINF_260008300	A4I1W9	86.0
Tb1125.4.2450	Tb427.04.2450	Q584E2	86.0
C3747_185g6	TcCLB.510671.31	Q4CR76	86.0
JKF63_05012	LINF_210009200	A4HZ37	86.0
TCDM_00354	BSAL_37820	A0A0S4JLX2	86.0
LtaPh_1801600	LdBPK_180160.1	A0A6J8F836	86.0
PCON_0039700	LINF_290033300	A4I4W8	86.0
DQ04_01091060	ADEAN_000983500	A0A7G2CRY8	86.0
TcCL_NonESM08041	TcCLB.507801.144	Q4DPL1	86.0
Tb927.3.1130	BSAL_59470	A0A0S4IRV7	86.0
DQ04_02401020	TcCLB.510297.100	Q4DHY6	86.0
Baya_209_0070	TcCLB.509767.50	Q4DSC9	86.0
Baya_234_0040	Tb927.10.5630	Q38B41	86.0
TcIL3000.A.H_000751400	TcCLB.506295.40	Q4DER2	86.0
BSAL_15235	Tbg972.5.5190	C9ZPQ1	86.0
LpyrH10_39_0180	Tb427.08.1790	Q582A3	86.0
TcIL3000.A.H_000176500	TcIL3000_0_51660	F9WBC8	86.0
TcCL_NonESM07356	TcCLB.506625.19	Q4DUD8	86.0
Baya_014_0040	Tbg972.7.5280	Q95Z16	86.0
TCDM_11859	TcCLB.511667.20	Q4DNM2	86.0
C3747_152g96	TM35_000591020	A0A1X0NHZ8	86.0
Baya_091_0130	TvY486_0701550	G0TXX4	86.0
Baya_001_0220	TRSC58_03728	A0A422NIV0	86.0
BSAL_00865	BSAL_00875	A0A0S4JA11	86.0
C3747_56g193	C3747_163g42	A0A2V2W693	86.0
Baya_081_0070	LpyrH10_05_0640	A0A0N0DWQ0	86.0
PCON_0029750	Tb927.10.9250	Q38A49	86.0
Tc_MARK_4841	ECC02_006231	A0A7J6Y1M9	86.0
CFAC1_240005800	LMJLV39_060019700	Q4QIU7	86.0
TcCL_NonESM08748	LBRM2903_350007100	A4HNL6	86.0
CFAC1_080017600	LINF_070013900	A0A6L0WII9	86.0
TcCL_Unassigned06223	LINF_250027500	A4I1Q4	86.0
C3747_8g620	TcCL_ESM09873	A0A2V2X999	86.0
TRSC58_04624	LINF_280009200	A4I3B7	86.0
TvY486_1005160	TRSC58_04208	A0A422P275	86.0
LpyrH10_34_0710	Tc_MARK_3285	A0A2V2XC08	86.0
LpyrH10_13_1320	LINF_180015300	A4HXX3	86.0
CFAC1_280074500	LbrM.35.6850	A4HQH2	86.0
LmjF.16.0005	LINF_160005000	A4HWP9	86.0
Tc_MARK_7090	C4B63_90g8	A0A2V2UTW3	86.0
ADEAN_000154300	TcCLB.508169.40	Q4D5W8	86.0
TvY486_0400860	TcCLB.506705.60	Q4CYS8	86.0
C3747_40g250	TcCLB.509105.150	Q4DKH8	86.0
CFAC1_250046700	TcIL3000_0_41600	F9W881	86.0
TM35_000052290	TM35_000052290	A0A1X0P4Q5	86.0
ECC02_002500	TcCLB.509591.60	Q4D434	86.0
JIQ42_00315	TcCLB.507681.70	Q4DW44	86.0
BSAL_58930	Tb927.3.3390	Q57V47	86.0
LpyrH10_17_0070	LINF_140005600	A4HVU9	86.0
LAEL147_000761200	LINF_350016200	A4IB09	86.0
PCON_0048010	LINF_350049200	A4IBX4	86.0
LMARLEM2494_210015900	LMJSD75_210016300	Q4QCB2	86.0
BSAL_86985	TcCLB.511277.70	Q4E5I8	86.0
LTULEM423_050017300	LINF_050017500	E9AG65	86.0
BSAL_41850	TcCLB.508409.250	Q4DWS1	86.0
Tb427.10.2730	Tbg972.10.3390	D0A1W1	86.0
PCON_0070510	Tb927.10.13210	Q388S6	86.0
BSAL_12470	TcCLB.511421.24	Q4DWR0	86.0
BSAL_52350	Tb927.10.8770	Q38A97	86.0
JKF63_00806	TcCLB.504827.70	Q4DNE7	86.0
TEOVI_000475700	Tb927.11.9220	Q384A6	86.0
TRSC58_02485	ADEAN_000843200	A0A7G2CM40	86.0
LpyrH10_04_2280	TM35_000031010	A0A1X0P666	86.0
LpyrH10_05_0550	TcCLB.506195.300	Q4DXJ6	86.0
Tb927.11.20490	Tb927.9.580	Q38G41	86.0
BSAL_60325	LINF_290028300	E9AHJ4	86.0
LbrM.26.1060	LDHU3_26.1300	A0A504X4X4	86.0
PCON_0077610	BSAL_15145	A0A0S4JE34	86.0
Tb427_000106000	Tb1125.Tb10.v4.0089	A0A1J0RAZ4	86.0
Tb927.5.3200	Tb927.5.3200	Q57Z73	86.0
ECC02_009523	TcCLB.503653.20	Q4CZ57	86.0
CFAC1_290008500	ADEAN_000335300	S9VNJ2	86.0
ADEAN_000794500	TcCLB.510359.360	Q4E538	86.0
LMJFC_170008100	Tb427.07.6080	Q57VK3	86.0
ECC02_001951	Lsey_0067_0130	A0A0N1I6W4	86.0
TCSYLVIO_000668	TRSC58_06846	A0A061IS33	86.0
Tc_MARK_5353	TvY486_0021930	F9WPL8	86.0
ADEAN_000684900	LpyrH10_17_1210	A0A0M9FW46	86.0
EMOLV88_340007900	LINF_340007700	A0A6L0XNK3	86.0
PCON_0020960	LINF_230023400	A4I0K0	86.0
LSM04_000495	TcIL3000_2_1090	G0UJH8	86.0
C3747_12g283	TcBrA4_0044470	A0A2V2VXT7	86.0
C4B63_10g498	LINF_290007000	A4I474	86.0
Tb427tmp.211.3955	LINF_350032000	A4IBD5	86.0
Lsey_0075_0140	TvY486_1006310	G0U6S7	86.0
LMJLV39_200010500	Tb427.01.1150	Q4GZA3	86.0
Tb927.11.19450	Tb427_000176300	M4SVR8	86.0
LSM04_001160	TM35_000113500	A0A1X0NYN2	86.0
C3747_3g894	ECC02_010615	A0A7J6XQ21	86.0
LpyrH10_01_0430	LINF_220010300	A4HZS6	86.0
PCON_0061610	TcCLB.508095.20	Q4CTR8	86.0
ADEAN_000746500	Tbg972.11.5730	D0A704	86.0
DQ04_04911020	ADEAN_000009800	A0A7G2BYL3	86.0
TvY486_0906480	TcYC6_0068690	A0A2V2W159	86.0
LSCM1_07145	LINF_080005400	A4HTF5	86.0
Tb427_000224400	Tb427_000346500	A0A1V0FZB2	86.0
EMOLV88_000024200	LtaPh_9907801	A0A640KY08	86.0
PCON_0065750	TcCLB.503689.30	Q4CV35	86.0
JIQ42_01827	LINF_330010400	A4I8Q4	86.0
LSM04_006074	TcCLB.509617.80	Q4D628	86.0
DQ04_01291000	Tb927.9.13580	Q38D71	86.0
LSM04_001192	TEOVI_000615900	A0A1G4I9T8	86.0
TEOVI_000769300	Tb927.3.630	Q57WU6	86.0
Lsey_0010_0090	LdBPK_322770.1	E9BP28	86.0
TcIL3000.A.H_000479000	TcCLB.509065.160	Q4DHE0	86.0
BSAL_42930	TcIL3000_8_3580	G0URX7	86.0
LtaPh_1315691	LINF_130022500	E9AGK6	86.0
TvY486_0902210	TcCLB.505843.24	Q4CVH2	86.0
DQ04_07991050	TcCLB.508577.120	Q4DPC1	86.0
LSM04_009201	LINF_260006800	A4I1V5	86.0
LSM04_001103	TcCLB.509161.10	Q4CT68	86.0
TcG_11406	C3747_59g223	A0A2V2WS94	86.0
Baya_074_0240	TcCLB.506485.100	Q4DAR8	86.0
Baya_006_0380	TcCLB.505183.130	Q4DJ57	86.0
BSAL_55810	C4B63_137g5	A0A2V2VPC2	86.0
TcCL_ESM10583	TcCLB.510195.9	Q4CNR3	86.0
TcSYL_0112840	TvY486_1114150	G0U8K5	86.0
Tb427tmp.244.1740	Tb927.11.17760	Q380X6	86.0
C4B63_600g1	C4B63_257g13	A0A2V2UP40	86.0
LSM04_000427	TM35_000053000	A0A1X0P442	86.0
LSCM1_07600	LDHU3_09.0980	A0A504X4M0	86.0
TEOVI_000908300	BCY84_01298	A0A2V2WNI2	86.0
BSAL_62330	TcCL_ESM08232	A0A2V2WN13	86.0
TcSYL_0041080	TcCLB.414661.9	Q4CKX6	86.0
BSAL_19655	BSAL_19655	A0A0S4JC95	86.0
PCON_0074880	LINF_330041500	A4I9F5	86.0
TcIL3000_9_5110	ADEAN_000417800	A0A7G2CCN5	86.0
TcCL_Unassigned01364	TcCLB.509397.9	Q4CPQ8	86.0
LbrM.08.0310	LbrM.13.1330	A0A3P3Z4H1	86.0
JIQ42_00682	LINF_360073200	A0A381N054	86.0
Tb1125.5.3930	TcCLB.507057.60	Q4CWY8	86.0
TcIL3000.A.H_000581700	Tb927.8.2110	Q581X1	86.0
ADEAN_000380200	Lsey_0001_1000	A0A0N0P9L8	86.0
BSAL_59595	TvY486_1100400	G0U9S4	86.0
PCON_0042880	BSAL_16710	A0A0S4JEX7	86.0
TcSYL_0200650	ECC02_013350	A0A7J6XIK9	86.0
ADEAN_000461000	TvY486_0600070	G0TW78	86.0
DQ04_01801120	TcCLB.509601.130	Q4DK72	86.0
TcCLB.509811.9	TcCL_ESM08875	A0A2V2WQ16	86.0
Baya_109_0010	TcCLB.508355.380	Q4E391	86.0
TevSTIB805.3.210	Tb427_000176600	M4SW31	86.0
ADEAN_000349900	LINF_320037600	A4I8C5	86.0
TcCL_ESM10600	TcCL_ESM10280	A0A2V2XG35	86.0
ADEAN_000353400	LINF_320037050	A4I8C1	86.0
BCY84_01565	LpyrH10_02_3470	A0A0N0VHA9	86.0
LDHU3_27.1680	ADEAN_000295000	S9V9J0	86.0
LMJFC_350060500	LMJFC_350060500	E9AFU5	86.0
TcIL3000_9_990	TcCLB.504797.80	Q4DJ21	86.0
LMARLEM2494_360073500	LENLEM3045_360073900	P13865	86.0
DQ04_04621020	TcCLB.510131.70	Q4D5H8	86.0
LtaPh_3030200	TvY486_0603770	G0TX96	86.0
PCON_0036820	TvY486_0400760	G0TTX8	86.0
Tbg972.11.15150	TcCLB.510357.80	Q4DBV6	86.0
TEOVI_000643000	TRSC58_05271	A0A422NW79	86.0
C3747_680g6	C3747_680g6	A0A2V2UP62	86.0
TCSYLVIO_000590	ECC02_009249	A0A7J6XUF2	86.0
DQ04_03631100	LpyrH10_02_5530	A0A0N0VHE0	86.0
TcIL3000.A.H_000312000	Tb927.3.810	Q57WW4	86.0
LAMA_000708200	TM35_000083780	A0A1X0P2H5	86.0
EMOLV88_260010500	TcCLB.509505.40	Q4D001	86.0
BCY84_06227	TcCLB.508501.165	Q4DUU8	86.0
PCON_0063320	TM35_000161540	A0A1X0NUY9	86.0
LSM04_001507	TcCLB.506871.40	Q4DNK9	86.0
PCON_0043280	TCDM_04484	V5B0X3	86.0
BSAL_45035	ADEAN_000383600	A0A7G2CBS1	86.0
TvY486_0035745	TvY486_0033450	F9WSG8	86.0
LSM04_007454	TcCLB.506445.60	P30190	86.0
ADEAN_000131500	Tb927.8.7810	Q57U62	86.0
PCON_0069650	LMJLV39_100007400	Q4QHJ3	86.0
Lsey_0075_0190	LMJSD75_050005500	Q4QJJ7	86.0
CFAC1_160027800	BSAL_23400	A0A0S4JL63	86.0
TM35_000072760	TcCLB.511511.20	Q4DT80	86.0
Tbg972.6.600	TcCL_ESM02587	A0A2V2WSK8	86.0
LpyrH10_30_0520	Tb927.11.16340	Q381F2	86.0
TcCL_Unassigned06257	TcCLB.508351.40	Q4CUN8	86.0
DQ04_03041080	TcCLB.508503.80	Q4D209	86.0
TM35_000071670	TcCLB.510443.30	Q4CPJ7	86.0
TcCLB.504257.20	TvY486_0603840	G0TXA3	86.0
Baya_017_0410	TcCLB.506853.30	Q4D186	86.0
EMOLV88_360102100	LtaPh_3672300	A0A640L1X4	86.0
Baya_022_0590	BSAL_53315	A0A0S4IPP0	86.0
TM35_001011040	TM35_001011040	A0A1X0NEJ8	86.0
TM35_000021960	TRSC58_03718	A0A061J3C8	86.0
C3747_109g144	Tb927.11.10690	Q383L0	86.0
LtaP32.1670	TM35_000171960	A0A1X0NUD8	86.0
C4B63_182g7	C4B63_82g73	A0A2V2UUC0	86.0
DQ04_04571000	TRSC58_03086	A0A422NWG5	86.0
LmxM.19.0630	BSAL_09390	A0A0S4J721	86.0
ADEAN_000848400	TcCLB.511911.120	Q4DQV1	86.0
TcSYL_0057310	TRSC58_05093	A0A061IVP4	86.0
DQ04_05251040	LINF_300005400	A4I4Z9	86.0
Tb927.11.3670	Tb927.11.3670	Q386E5	86.0
PCON_0003050	Tb927.11.2920	Q386L9	86.0
PCON_0086520	LINF_150008100	A4HWC9	86.0
Baya_083_0100	TcCLB.504013.40	Q4D6P5	86.0
LPAL13_090016300	LpyrH10_16_1810	A0A0M9FX19	86.0
TcIL3000.A.H_000256400	TcIL3000_0_58650	F9WDI2	86.0
LdCL_340022600	TcIL3000_4_2660	G0ULC0	86.0
TcIL3000.A.H_000388000	TRSC58_06675	A0A3S5ISG2	86.0
TM35_000491200	LPMP_341200	A0A088S0N1	86.0
Tb1125.5.1420	Tb427.05.1420	Q57VC1	86.0
LmxM.36.6360	Tb927.10.7670	Q38AJ7	86.0
DQ04_18941000	TcIL3000_0_34430	F9W5X3	86.0
LBRM2903_030007700	TM35_000011940	A0A1X0P8P0	85.0
Baya_017_0650	LINF_210025600	A4HZG4	85.0
BSAL_04600	BSAL_04600	A0A0S4IV22	85.0
TcCL_ESM03901	C3747_254g39	A0A2V2VJB1	85.0
CFAC1_250054200	LbrM.24.2410	A4HDU4	85.0
PCON_0002720	Tb927.8.7730	Q57V92	85.0
TM35_000153080	TcCLB.511075.24	Q4CZ37	85.0
TRSC58_04357	Tb927.11.11930	Q382Y8	85.0
ADEAN_000145500	TM35_000051210	A0A1X0P3R6	85.0
PCON_0030300	BCY84_11173	A0A7J6YJK7	85.0
TcIL3000.A.H_000714600	Tb927.10.370	Q38CK1	85.0
TcIL3000_9_5590	TcCLB.510657.170	Q4DS22	85.0
LSM04_001403	TcCLB.511277.570	Q4E5D7	85.0
Baya_123_0150	Tb927.11.13930	Q382E4	85.0
TCDM_00051	TcCLB.508461.30	Q4E4W2	85.0
TcCLB.509161.70	TcG_00321	A0A2V2VMI0	85.0
LmxM.10.0400	Lsey_0426_0060	A0A0N1HZ06	85.0
PCON_0067190	Tb927.1.1560	Q4GZ63	85.0
TcG_02054	TcIL3000.A.H_000704800	P69300	85.0
TevSTIB805.10.13500	Tb927.10.12880	Q388V8	85.0
LMJSD75_240019000	LdBPK_241360.1	E9BGZ9	85.0
Baya_003_0780	TcCLB.507773.40	Q4CZJ0	85.0
TCSYLVIO_001781	Tb927.11.7570	Q384P9	85.0
Tc_MARK_1826	TcCLB.511495.30	Q4CNQ1	85.0
LSM04_003820	TcCLB.511367.290	Q4DYG6	85.0
TvY486_1005600	TcCLB.510299.30	Q4CZK5	85.0
DQ04_04391070	TcCLB.508857.40	Q4DLM6	85.0
LdBPK_302430.1	LINF_300029600	A4I5S0	85.0
LMARLEM2494_180005100	TcCLB.508737.30	Q4DTI1	85.0
BSAL_81765	Tb11.02.5100b	Q384U7	85.0
BSAL_04445	TCDM_07851	V5BI51	85.0
GH5_07350	LINF_190005800	E9AGR2	85.0
LbrM.33.2.001780	LINF_330023400	E9AHN5	85.0
TcYC6_0010860	C4B63_50g157	A0A2V2V2Q1	85.0
TCSYLVIO_010914	TM35_000202640	A0A1X0NT16	85.0
TcCL_ESM05695	TcCLB.508387.90	Q4DQ90	85.0
Baya_061_0110	TcCLB.402863.9	Q4CQ22	85.0
BSAL_81005	TcYC6_0016410	A0A2V2WQC2	85.0
BSAL_23700	TcIL3000.11.13240	G0V2F2	85.0
LPMP_111240	LINF_110018800	A4HV36	85.0
C3747_288g47	C3747_205g42	A0A2V2W2K6	85.0
CFAC1_260061700	LINF_300041900	A4I652	85.0
TM35_000371450	TcCLB.508111.20	Q4D5C3	85.0
Baya_039_0300	TcCLB.510087.30	Q4DB03	85.0
CFAC1_270043400	LPMP_311710	A0A088RXW2	85.0
TcYC6_0030420	Tb927.8.3440	Q57YW9	85.0
Lsey_0283_0050	BSAL_08200	A0A0S4J6J0	85.0
TcIL3000_10_370	Tb927.10.510	Q38CI9	85.0
PCON_0019930	LINF_150023700	A4HWP6	85.0
LSM04_001154	TcIL3000.A.H_000546800	Q582L7	85.0
Baya_074_0210	LpyrH10_08_2190	A0A0N0DVM8	85.0
C3747_238g46	C3747_162g63	A0A2V2W5Z8	85.0
BSAL_26090	BSAL_26090	A0A0S4JFE9	85.0
Baya_211_0080	LPMP_282310	A0A088RX74	85.0
TvY486_0800140	TRSC58_04181	A0A3R7K9V3	85.0
BSAL_71455	LINF_270008200	A4I2L2	85.0
TM35_000101680	TcCLB.507491.10	A0A2V2XIE4	85.0
BSAL_53195	TcCLB.507857.60	Q4D4E6	85.0
Baya_159_0080	TcCLB.508839.40	Q4D5L2	85.0
C4B63_97g41	C3747_228g36	A0A2V2VQB7	85.0
TcYC6_0072380	TRSC58_03328	A0A3R7NE49	85.0
PCON_0028410	Tb927.10.8100	Q38AF4	85.0
Tb427.10.12480	TcCLB.509741.20	Q4CVI8	85.0
ADEAN_000726100	LINF_240025300	A4I0Z9	85.0
LBRM2903_350005100	LINF_020006900	A4HRM1	85.0
TM35_000361840	ADEAN_000753800	A0A7G2CM70	85.0
TcCLB.506629.130	Tb927.11.1620	Q386Z2	85.0
Lsey_0005_0350	TvY486_0402300	G0TUD0	85.0
BSAL_00690	Tb927.3.2980	Q57ZL4	85.0
DQ04_02951090	Tb927.5.3780	Q57U88	85.0
LpyrH10_08_2760	LINF_290030900	A4I4U6	85.0
BCY84_21652	TcG_04387	A0A2V2WMM4	85.0
LdBPK.29.2.002950	TvY486_0302240	G0TSV8	85.0
BSAL_18570	BSAL_18570	A0A0S4JEU3	85.0
ADEAN_000011000	TcCLB.508153.20	Q4E689	85.0
LPMP_250070	Tb927.2.3190	Q587F6	85.0
ADEAN_000050200	TcCLB.503971.50	Q4CY35	85.0
DQ04_01151060	TcCLB.508479.230	Q4E2J8	85.0
DQ04_00991060	Tb927.5.1300	Q57VD3	85.0
TcG_12359	TM35_000123330	A0A1X0NYE5	85.0
BSAL_26615	TcCLB.511627.110	Q4D832	85.0
PCON_0014980	BSAL_09655	A0A0S4JAW3	85.0
TCSYLVIO_008542	C3747_289g26	A0A2V2VBW8	85.0
C4B63_159g19	TCDM_04092	V5BM02	85.0
TvY486_0020240	TvY486_0018250	F9WNK0	85.0
LSM04_008006	LBRM2903_200006300	A4HAD7	85.0
TvY486_0002340	TvY486_0030970	F9WRX6	85.0
LSCM1_01563	LpyrH10_29_0520	A0A0M9FRA4	85.0
TcSYL_0195090	TcCL_NonESM02324	A0A2V2VL21	85.0
PCON_0086470	Lsey_1172_0010	A0A0N1I0D7	85.0
LTULEM423_340043400	ADEAN_000221400	A0A7G2C7P6	85.0
TCSYLVIO_003403	TcCLB.508037.10	Q4CLU4	85.0
LtaPh_2300400	LDHU3_23.0060	A0A504XRM8	85.0
TcG_10676	TcCLB.503667.10	Q4CW39	85.0
LtaP22.1440	TcCLB.508323.100	Q4DFL2	85.0
Tbg972.9.2440	TcCLB.510155.120	Q4E0G2	85.0
TRSC58_01622	TcCLB.510661.100	Q4DUI2	85.0
TCDM_03738	Tb927.11.12150	Q382W6	85.0
LSM04_005630	Tb927.11.4430	Q385X4	85.0
BSAL_36560	C3747_10g4	A0A2V2XEA8	85.0
TvY486_0801220	TCDM_07989	A0A2V2VS70	85.0
BSAL_77730	LPMP_241790	A0A088SAY7	85.0
LpyrH10_16_0010	LpyrH10_16_0010	A0A0M9FWB5	85.0
TvY486_0102160	ADEAN_000835600	A0A7G2CQQ5	85.0
DQ04_00551020	Tb927.4.850	Q580B3	85.0
TEOVI_000577200	Tb427_000262000	M4SSY6	85.0
C4B63_39g376	C4B63_37g395	A0A2V2VAC6	85.0
TcIL3000.A.H_000162800	TcIL3000_0_04980	F9W9N1	85.0
LtaP25.0560	LINF_250010500	A4I194	85.0
C3747_23g276	TCDM_01042	V5DS64	85.0
TcBrA4_0083000	C3747_93g133	A0A2V2WIM5	85.0
ADEAN_000628800	LbrM.28.2360	A4HGS0	85.0
Baya_011_0740	Tb927.11.7216	Q384U5	85.0
TRSC58_07733	LBRM2903_200050400	A4HBC1	85.0
ADEAN_000031000	ADEAN_000031000	A0A7G2C4S3	85.0
LMJLV39_300032100	Lsey_1106_0010	A0A0N1IFT3	85.0
Tb427_110006800	Tb927.11.290	Q387M2	85.0
Baya_073_0230	Tb927.6.750	Q583S8	85.0
LbrM.17.0120	Tb927.4.3880	Q57XZ2	85.0
CUR178_06739	TM35_000181870	A0A1X0NVI8	85.0
TcIL3000.A.H_000938300	TM35_000112480	A0A1X0NYF4	85.0
Baya_036_0230	LmxM.27.0980	E9AYZ9	85.0
GH5_01999	LINF_080012500	A4HTM0	85.0
LSM04_000267	TcCLB.511017.20	Q4D422	85.0
TRSC58_01707	TcCLB.509029.100	Q4DL54	85.0
TevSTIB805.10.9870	TcIL3000_10_8060	G0UXB3	85.0
BSAL_68340	TcCLB.506773.80	Q4DQF5	85.0
BSAL_66235	LINF_300034750	A4I5X3	85.0
DQ04_01111090	Tbg972.3.1570	C9ZK54	85.0
TcIL3000.A.H_000609200	TcCLB.511215.40	Q4DIG3	85.0
EMOLV88_260030700	BSAL_53080	A0A0S4ILF7	85.0
TcSYL_0140730	LmxM.29.3600	E9B1D4	85.0
ADEAN_000093200	C4B63_127g59	A0A2V2WF72	85.0
Baya_001_0520	Tb927.10.6980	Q38AR5	85.0
TRSC58_03623	Tb927.9.6370	Q38EU4	85.0
TM35_000251690	Lsey_0487_0020	A0A0N1P962	85.0
C3747_38g275	LINF_360046600	A4ID19	85.0
PCON_0010200	TcCLB.508323.190	Q4DFK9	85.0
TM35_000033810	TcCLB.511277.400	Q4E5F4	85.0
LSM04_003256	TM35_000091180	A0A1X0NZT8	85.0
TCDM_07765	TcCLB.504089.54	Q4DE56	85.0
TcIL3000.A.H_000370800	TcCLB.506559.454	Q4E583	85.0
DQ04_03091030	TcCLB.506871.130	Q4DNK1	85.0
TcG_07660	TcYC6_0015860	A0A2V2VQ71	85.0
TRSC58_00608	ADEAN_000219900	A0A7G2C4L9	85.0
LSM04_008892	BSAL_13975	A0A0S4JGP6	85.0
ADEAN_000538400	LtaPh_3037000	A0A640KMN2	85.0
TcIL3000.A.H_001003700	LINF_090022700	A4HU73	85.0
TvY486_1117110	TvY486_1117110	G0U9E2	85.0
TRSC58_05771	TcCLB.510187.160	Q4E4D5	85.0
TcIL3000.A.H_000548000	TcIL3000.A.H_000548000	Q57Y74	85.0
LAMA_000737000	LpyrH10_05_1160	A0A0M9G4S4	85.0
BSAL_20505	Tb927.8.7280	Q57YT0	85.0
ADEAN_000460800	LINF_250005400	A4I147	85.0
Baya_023_0340	TcIL3000.A.H_000633500	Q584J8	85.0
C4B63_30g1138c	TcCLB.509149.50	Q4D168	85.0
ADEAN_000158200	LmxM.36.0560	E9ASH5	85.0
TM35_000281800	TM35_000281800	A0A1X0NP31	85.0
TcIL3000.A.H_000533700	TcCLB.509471.30	Q4CZH7	85.0
TEOVI_000906900	LINF_260005100	A4I1U0	85.0
Lsey_0375_0040	Lsey_0375_0040	A0A0N0P2W6	85.0
ADEAN_000678500	Tb927.7.4290	Q57UQ9	85.0
Tb1125.11.14310	LINF_320016400	A4I7S4	85.0
Tb427_000542300	Tb927.11.19400	Q4FKF4	85.0
TcYC6_0068790	TcCLB.507001.100	Q4DF19	85.0
TcCL_Unassigned06201	Tb927.11.2130	Q386U6	85.0
BSAL_58800	BSAL_58800	A0A0S4KHE1	85.0
LSCM4_07304	LINF_150021100	A4HWL8	85.0
JKF63_01461	LINF_350052000	E9AHW8	85.0
ADEAN_000149900	LINF_310006400	E9AHK7	85.0
ECC02_012204	ECC02_008362	A0A7J6XWX1	85.0
TM35_000024980	TcCLB.510289.70	Q4D5M9	85.0
C3747_657g21	C4B63_337g11	A0A2V2ULP0	85.0
TM35_000182170	TCDM_03092	V5DL61	85.0
TevSTIB805.11_01.15070	TcCLB.506871.160	Q4DNJ8	85.0
TcG_02917	LmxM.08_29.1500a	E8NHR4	85.0
JKF63_02750	LINF_320045900	A4I8K5	85.0
TcIL3000_5_3910	ADEAN_000011900	A0A7G2C1T7	85.0
LSCM1_04947	TcCLB.506443.80	Q4DMF1	85.0
LtaPh_2206800	LbrM.22.0660	A4HCB9	85.0
PCON_0026260	BCY84_00998	A0A2V2X718	85.0
TevSTIB805.11_01.10990	LdBPK_365470.1	A0A504XJH6	85.0
LSM04_003608	Tb927.8.4270	Q57W08	85.0
BSAL_48780	TcCLB.510687.110	Q4D9X6	85.0
LbrM.28.1630	LtaPh_2815361	A0A640KLD5	85.0
Tb427_110023900	Tb927.11.1910	Q386W8	85.0
TcYC6_0030880	ECC02_002136	A0A7J6YDI9	85.0
TcIL3000.A.H_000938700	Tb927.11.7870	Q384N1	85.0
Tb1125.11.8080	Tb927.11.8080	Q384L1	85.0
ECC02_002168	TcCLB.508317.50	Q4DC59	85.0
Lsey_0026_0140	TcYC6_0054390	A0A2V2V8F7	85.0
DQ04_01181150	LMJFC_360089900	Q4Q066	85.0
PCON_0025490	LtaPh_3031800	A0A640KTX6	85.0
TEOVI_000260200	Tb427_000427700	M4SVR2	85.0
LPAL13_030010000	LDHU3_03.0630	A0A504XZ02	85.0
Baya_125_0100	Tb927.11.15130	Q381S2	85.0
Baya_024_0400	TRSC58_01647	A0A061JBJ7	85.0
LmxM.15.0120	Tb927.5.1550	Q57VA8	85.0
JKF63_01110	Lsey_0111_0030	A0A0N1I5C0	85.0
ADEAN_000430600	LpyrH10_01_4220	A0A0M9GAF0	85.0
Baya_214_0020	LPMP_230090	A0A088S9Z4	85.0
TcCL_NonESM00704	C4B63_42g180	A0A2V2V5U7	85.0
LMJLV39_340016300	LINF_340015100	A4I9Q0	85.0
BSAL_58730	TcCLB.508153.490	Q4E641	85.0
TcSYL_0075230	ADEAN_001052800	A0A7G2CUJ0	85.0
LTRL590_310019100	LpyrH10_12_1700	A0A0N0VEP7	85.0
Tb11.02.5080b	LINF_110005100	A4HUR4	85.0
ADEAN_000368100	LINF_320026300	A4I824	85.0
TcYC6_0082650	TcCLB.504035.120	Q4DI79	85.0
CFAC1_300035500	ECC02_009153	A0A2V2WFY3	85.0
BSAL_90235	TcCLB.509055.50	Q4CXL5	85.0
LmxM.11.0270	LINF_110007600	A4HUT9	85.0
TcIL3000_0_47420	TcIL3000_0_47400	F9WDT3	85.0
Baya_059_0230	TcCLB.511367.170	Q4DYH5	85.0
BSAL_92185	TcCLB.507771.90	Q4DCL3	85.0
ECC02_005430	TcCLB.509601.150	Q4DK70	85.0
LDHU3_17.2150	LINF_170022000	A4HXM3	85.0
CFAC1_060022000	TCDM_06439	V5DCQ2	85.0
CFAC1_250037700	TcCLB.507609.10	Q4DFC6	85.0
LbrM.31.3070	TcCLB.507895.69	Q4DJQ4	85.0
TRSC58_01325	Tb927.11.14030	Q382D4	85.0
TRSC58_02169	TRSC58_02169	A0A3R7MF36	85.0
Baya_011_0330	LINF_280007900	A4I3A3	85.0
BSAL_38005	TEOVI_000167700	A0A1G4IDI1	85.0
TvY486_1002320	BSAL_14345	A0A0S4JDP6	85.0
TRSC58_02411	Tb927.6.1930	Q585L8	85.0
Tb1125.10.16040	LBRM2903_190023900	A4HA95	85.0
TCSYLVIO_010854	TcG_11513	A0A2V2UVL3	85.0
TcCL_NonESM05757	TcCLB.508837.74	Q4DUG2	85.0
ECC02_002107	TM35_000123160	A0A1X0NY51	85.0
TRSC58_04253	Tb927.3.4780	Q582Q7	85.0
Tb427.07.3350	LtaPh_2213200	A0A640KGC5	85.0
ADEAN_000701600	TcCLB.506227.150	Q4DSV5	85.0
BSAL_38000	TcG_09042	A0A2V2UKR6	85.0
